condition,review,rating,usefulCount
Pain,"""I have acute sciatica and have been taking Percocet 10mg along with tramadol 4x day.  I was getting concerned about the acetaminophen so I asked my doctor for Nucynta.  I was prescribed 50mg along with the tramadol but I had gotten no pain relief.  Then started taking 100mg but the pain is still very noticeable.  For me, the Percocet seem to do a better job of pain relief.""",5.0,69
Pruritus,"""Saw the post by DanniBee. The drowsiness appears to be dose dependent. Not sure, (I don&#039;t have strong data),  but I think the anti-itch effect happens at a lower level for people that have high drowsiness. Try a low dosage (5 to 10 mg). I know this may be considered a near homeopathic dose, but I and others have seen the anti-itch effect work at these lower doses with people who have particularly high sensitivity to the drowsiness effect. Let me know if it works.""",9.0,23
"Hypogonadism, Male","""I am 54 and been using patches 2 years, Testosterone is back from 190 to 400 on average; energy is back plus good marital functioning, if you know what I mean. I notice sometimes they do not stick well if water gets under it and do not place it on a body part with lots of motion. The longer you use it the better the result. My facial hair has filled out much more. Just make sure your MD does a CBC to make sure you do not have too much red blood cell production.""",9.0,32
Birth Control,"""It&#039;s been a year since implant, and my periods are constant, for the last two month I&#039;ve been bleeding non-stop. It is very effective birth control method since there are no sex involved anyway because of constant bleeding! I was hoping it would go away, but no such luck.""",2.0,60
Anxiety,"""After trying a few medications my psychiatrist put me on Paxil. I felt like it DID help with my anxiety and depression but that came with a price -- drowsiness, huge loss of libido, and horrible withdrawal symptoms. I was always lethargic and never wanted to go out and do anything, but I felt less anxiety and depression. I would literally go 7  days without sex (with my partner of 3 years) because I just didn&#039;t feel like it and I could definitely feel the negative toll it was taking on our relationship but luckily he stuck with me. After getting fed up with the intense side effects, I quit cold turkey -- huuuuge mistake. I felt like I had the flu and the brain zaps were never ending.""",6.0,61
Dry Skin,"""Used it for 2 days: itching, redness that turned to burning rash. Suspect it is the glycerin. May be soy derived. """,1.0,2
Emergency Contraception,"""Took about 24 hours after the incident. Was about a week late with heavy cramping.. Very moody and crampy.""",9.0,20
Diabetic Peripheral Neuropathy,"""I did not feel it was helping all that well with the pain.[ lower, middle back and rib]   I went from 25 mg to 75, 150 then 225mg.  
I found I was tired and lethargic. I had a dry mouth and throat constantly, and my vision was hard to focus, jumpy.
I had stopped and restarted after 4 months, still the same. Breathing is harder, so I&#039;ve noticed this time.     I have stopped for good!""",6.0,47
Anxiety and Stress,"""I&#039;m a 27 year old male and I take this for anxiety &amp; depression. I went into a deep anxiety attack where my mind went into a dark state of mind and I couldn&#039;t seem to get out of it for about a week until the medicine kicked in but it was so worth it! I feel at ease now and I&#039;m not overly worried about every little thing anymore. The pros far out weight the cons, but here&#039;s the side effects that I experienced during the first week: nausea, insomnia, no appetite hardly and more anxiety. Thankfully about the 5th day into taking it, I felt like me again! I had this sense of joy and happiness that made me feel great. Some males say they had a sexual side effect where they couldn&#039;t &quot;climax&quot;, but I didn&#039;t have that problem one bit. Saved my life.""",8.0,36
Smoking Cessation,"""I smoked a pack and a half for 31 years took Chantix for 2 weeks with no side effects have not had a smoke for a year and half and have not wanted one thanks Chantix""",10.0,47
Acne,"""Bactrim worked miracles when I first started taking it. I was on it for almost 5 years, but it began to lose it&#039;s potency so I had to change. Overall, it helped a lot in clearing my acne. I did experience less of an appetite, but other than that it was a positive experience.""",9.0,23
"Constipation, Chronic","""I began taking medication for my thyroid about a year ago.  Prior to that I NEVER had issues with constipation.  I was an &quot;at least once-a-day goer&quot; and happy about it.  The various medications I started REALLY messed me up.  I would go DAYS without a bowel movement and I FELT TERRIBLE.  I was not made for this.

A tried every over the counter medication, both natural and not, that you can imagine.  Nothing would work.

About 40 days ago my doctor prescribed me Linzess and I have gone *almost* every day since. It almost ALWAYS loose stool, however I sometimes even have to run to the restroom.  But I will take that over constipation ANY day.  One other drawback is that my stomach is VERY loud when I&#039;m on it.  Quiet rooms, quiet meetings...""",8.0,75
Anxiety and Stress,"""I started Celexa a little over a week ago for Generalized Anxiety, thought to be associated with my Irritable Bowel Syndrome-D. Doctors are still reluctant to associate moods/stress affecting your stomach and bowels, but I am a firm believer (after living my whole life with anxiety and IBS) that there IS a definite correlation. I am a 26 y/o female. I weigh 110 lbs. I was put on 10 mg and only took a half pill the first 6 days. Then I upped it to a whole pill. The initial 2 days, I had a migraine headache and insomnia at night and a restless/anxious feeling during the day. I would wake up in a panic with racing thoughts. Now it has gotten a bit better, but I don&#039;t think I&#039;ve been on it long enough yet to experience definite anxiety help. Trying to stick with it!""",8.0,106
Osteoporosis,"""My doctor gave me samples to use while I awaited my insurance to approve. After taking the first dosage in approximately 29 hours I was in the hospital. Side effects for me were extreme bone pain, indigestion. Doctors thought I was having a heart attack. """,1.0,28
